transaction_id,account_id,transaction_date,transaction_type,transaction_amount,merchant_id
TXN10055,ACC1021,2022-09-26,ATM Withdrawal,5000,MER2076
TXN10056,ACC1086,2023-11-06,Online Purchase,1000,MER2001
TXN10057,ACC1082,2022-09-02,ATM Withdrawal,200,MER2081
TXN10058,ACC1093,2022-07-04,Subscription Payment,30000,MER2069
TXN10059,ACC1044,2023-03-06,Credit Card Payment,500,MER2072
TXN10060,ACC1076,2023-11-14,ATM Withdrawal,50000,MER2087
TXN10061,ACC1063,2023-05-08,Deposit,500,MER2084
TXN10062,ACC1013,2023-03-30,Deposit,5000,MER2067
TXN10063,ACC1031,2023-04-05,Credit Card Payment,5000,MER2011
TXN10064,ACC1071,2023-06-03,Credit Card Payment,20000,MER2019
TXN10065,ACC1091,2023-12-30,Withdrawal,50000,MER2061
TXN10066,ACC1092,2023-06-17,Fund Transfer,150000,MER2016
TXN10067,ACC1005,2023-01-24,Bill Payment,5000,MER2049
TXN10068,ACC1021,2023-08-03,Online Purchase,500,MER2040
TXN10069,ACC1045,2022-10-28,Deposit,1000,MER2051
TXN10070,ACC1080,2022-07-15,Loan Payment,20000,MER2071
TXN10071,ACC1036,2022-05-02,Bill Payment,5000,MER2094
TXN10072,ACC1005,2023-05-26,Bill Payment,30000,MER2037
TXN10073,ACC1021,2023-09-12,Subscription Payment,2000,MER2091
TXN10074,ACC1098,2023-10-27,Deposit,1000,MER2011
TXN10075,ACC1084,2023-11-07,Credit Card Payment,20000,MER2032
TXN10076,ACC1001,2023-12-17,Credit Card Payment,5000,MER2074
TXN10077,ACC1043,2023-11-22,Withdrawal,20000,MER2012
TXN10078,ACC1017,2022-11-22,Fund Transfer,200000,MER2012
TXN10079,ACC1017,2023-01-17,Deposit,500,MER2066
TXN10080,ACC1047,2022-09-21,Credit Card Payment,15000,MER2018
TXN10081,ACC1002,2022-08-05,Loan Payment,30000,MER2019
TXN10082,ACC1024,2023-08-30,Withdrawal,500,MER2075
TXN10083,ACC1066,2023-08-23,Bill Payment,20000,MER2031
TXN10084,ACC1023,2023-03-14,Online Purchase,50000,MER2076
TXN10085,ACC1044,2023-06-12,Bill Payment,5000,MER2080
TXN10086,ACC1041,2023-12-06,Withdrawal,20000,MER2023
TXN10087,ACC1043,2022-07-15,Withdrawal,100000,MER2033
TXN10088,ACC1089,2022-02-13,ATM Withdrawal,10000,MER2000
TXN10089,ACC1002,2023-12-10,Credit Card Payment,2000,MER2081
TXN10090,ACC1029,2022-09-27,Deposit,1000,MER2012
TXN10091,ACC1060,2023-01-04,Withdrawal,10000,MER2011
TXN10092,ACC1009,2023-12-26,Online Purchase,25000,MER2085
TXN10093,ACC1009,2023-10-10,Online Purchase,500,MER2047
TXN10094,ACC1060,2022-08-04,Loan Payment,20000,MER2052
TXN10095,ACC1081,2023-11-24,ATM Withdrawal,1000,MER2016
TXN10096,ACC1032,2023-08-17,Withdrawal,5000,MER2017
TXN10097,ACC1017,2022-02-15,Fund Transfer,5000,MER2074
TXN10098,ACC1060,2023-11-22,Subscription Payment,5000,MER2097
TXN10099,ACC1004,2023-01-10,Bill Payment,300000,MER2071
